AssetID,Site,Land_use,IUCN_habitat_realm,IUCN_habitat_biome,IUCN_habitat_EFG,IUCN_habitat,FossittLvl1,FossittLvl2,Fossitt,Area_m2,Characteristic Type,Class,Variable,Measurement_unit,Opening_Value,Standardised_Value,Referenced_value,Weighted
BAED302,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3,2377,Biotic characteristics,Structural state,Conifer Encroachment,Index (0-5),4,1,0.333333333,0.083333333
BAED303,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3,3526,Biotic characteristics,Structural state,Conifer Encroachment,Index (0-5),2,2,0.666666667,0.166666667
BAED304,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3,692,Biotic characteristics,Structural state,Conifer Encroachment,Index (0-5),1,3,1,0.25
BAED306,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3,1779,Biotic characteristics,Structural state,Conifer Encroachment,Index (0-5),2,2,0.666666667,0.166666667
BAED307,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3,1025,Biotic characteristics,Structural state,Conifer Encroachment,Index (0-5),2,2,0.666666667,0.166666667
BAED302,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3,2377,Landscape/seascape characteristics,Landscape,Percentage 5km buffer covered by protected areas,Percentage,14.983144,0,0,0
BAED303,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3,3526,Landscape/seascape characteristics,Landscape,Percentage 5km buffer covered by protected areas,Percentage,15.002624,0,0,0
BAED304,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3,692,Landscape/seascape characteristics,Landscape,Percentage 5km buffer covered by protected areas,Percentage,15.068494,0,0,0
BAED306,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3,1779,Landscape/seascape characteristics,Landscape,Percentage 5km buffer covered by protected areas,Percentage,16.148787,0,0,0
BAED307,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3,1025,Landscape/seascape characteristics,Landscape,Percentage 5km buffer covered by protected areas,Percentage,16.812962,0,0,0
BAED3HH102,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,6514,Abiotic characteristics,Physical state,Bare ground,Index (0-5),2,2,0.666666667,0.166666667
BAED3HH103,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,9776,Abiotic characteristics,Physical state,Bare ground,Index (0-5),2,2,0.666666667,0.166666667
BAED3HH104,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,4767,Abiotic characteristics,Physical state,Bare ground,Index (0-5),3,1,0.333333333,0.083333333
BAED3HH108,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,6613,Abiotic characteristics,Physical state,Bare ground,Index (0-5),3,1,0.333333333,0.083333333
BAED3HH112,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,6980,Abiotic characteristics,Physical state,Bare ground,Index (0-5),3,1,0.333333333,0.083333333
BAED3HH114,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,7721,Abiotic characteristics,Physical state,Bare ground,Index (0-5),3,1,0.333333333,0.083333333
BAED3HH116,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,10552,Abiotic characteristics,Physical state,Bare ground,Index (0-5),4,1,0.333333333,0.083333333
BAED3HH118,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,31515,Abiotic characteristics,Physical state,Bare ground,Index (0-5),1,3,1,0.25
BAED3HH119,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,12527,Abiotic characteristics,Physical state,Bare ground,Index (0-5),2,2,0.666666667,0.166666667
BAED3HH122,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,18437,Abiotic characteristics,Physical state,Bare ground,Index (0-5),2,2,0.666666667,0.166666667
BAED3HH123,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,20528,Abiotic characteristics,Physical state,Bare ground,Index (0-5),4,1,0.333333333,0.083333333
BAED3HH102,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,6514,Biotic characteristics,Compositional state,Herbicide use,Binary (0/1),1,1,1,0.25
BAED3HH103,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,9776,Biotic characteristics,Compositional state,Herbicide use,Binary (0/1),1,1,1,0.25
BAED3HH104,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,4767,Biotic characteristics,Compositional state,Herbicide use,Binary (0/1),1,1,1,0.25
BAED3HH108,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,6613,Biotic characteristics,Compositional state,Herbicide use,Binary (0/1),1,1,1,0.25
BAED3HH112,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,6980,Biotic characteristics,Compositional state,Herbicide use,Binary (0/1),1,1,1,0.25
BAED3HH114,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,7721,Biotic characteristics,Compositional state,Herbicide use,Binary (0/1),1,1,1,0.25
BAED3HH116,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,10552,Biotic characteristics,Compositional state,Herbicide use,Binary (0/1),1,1,1,0.25
BAED3HH118,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,31515,Biotic characteristics,Compositional state,Herbicide use,Binary (0/1),1,1,1,0.25
BAED3HH119,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,12527,Biotic characteristics,Compositional state,Herbicide use,Binary (0/1),1,1,1,0.25
BAED3HH122,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,18437,Biotic characteristics,Compositional state,Herbicide use,Binary (0/1),1,1,1,0.25
BAED3HH123,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,20528,Biotic characteristics,Compositional state,Herbicide use,Binary (0/1),1,1,1,0.25
BAED3HH102,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,6514,Biotic characteristics,Structural state,Vegetation structure,Index (0-3),2,2,0.666666667,0.055555556
BAED3HH103,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,9776,Biotic characteristics,Structural state,Vegetation structure,Index (0-3),2,2,0.666666667,0.055555556
BAED3HH104,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,4767,Biotic characteristics,Structural state,Vegetation structure,Index (0-3),2,2,0.666666667,0.055555556
BAED3HH108,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,6613,Biotic characteristics,Structural state,Vegetation structure,Index (0-3),2,2,0.666666667,0.055555556
BAED3HH112,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,6980,Biotic characteristics,Structural state,Vegetation structure,Index (0-3),2,2,0.666666667,0.055555556
BAED3HH114,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,7721,Biotic characteristics,Structural state,Vegetation structure,Index (0-3),2,2,0.666666667,0.055555556
BAED3HH116,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,10552,Biotic characteristics,Structural state,Vegetation structure,Index (0-3),2,2,0.666666667,0.055555556
BAED3HH118,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,31515,Biotic characteristics,Structural state,Vegetation structure,Index (0-3),2,2,0.666666667,0.055555556
BAED3HH119,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,12527,Biotic characteristics,Structural state,Vegetation structure,Index (0-3),2,2,0.666666667,0.055555556
BAED3HH122,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,18437,Biotic characteristics,Structural state,Vegetation structure,Index (0-3),2,2,0.666666667,0.055555556
BAED3HH123,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,20528,Biotic characteristics,Structural state,Vegetation structure,Index (0-3),2,2,0.666666667,0.055555556
BAED3HH102,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,6514,Biotic characteristics,Structural state,Conifer Encroachment,Index (0-5),2,2,0.666666667,0.055555556
BAED3HH103,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,9776,Biotic characteristics,Structural state,Conifer Encroachment,Index (0-5),2,2,0.666666667,0.055555556
BAED3HH104,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,4767,Biotic characteristics,Structural state,Conifer Encroachment,Index (0-5),3,1,0.333333333,0.027777778
BAED3HH108,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,6613,Biotic characteristics,Structural state,Conifer Encroachment,Index (0-5),1,3,1,0.083333333
BAED3HH112,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,6980,Biotic characteristics,Structural state,Conifer Encroachment,Index (0-5),2,2,0.666666667,0.055555556
BAED3HH114,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,7721,Biotic characteristics,Structural state,Conifer Encroachment,Index (0-5),4,1,0.333333333,0.027777778
BAED3HH116,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,10552,Biotic characteristics,Structural state,Conifer Encroachment,Index (0-5),3,1,0.333333333,0.027777778
BAED3HH118,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,31515,Biotic characteristics,Structural state,Conifer Encroachment,Index (0-5),3,1,0.333333333,0.027777778
BAED3HH119,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,12527,Biotic characteristics,Structural state,Conifer Encroachment,Index (0-5),4,1,0.333333333,0.027777778
BAED3HH122,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,18437,Biotic characteristics,Structural state,Conifer Encroachment,Index (0-5),4,1,0.333333333,0.027777778
BAED3HH123,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,20528,Biotic characteristics,Structural state,Conifer Encroachment,Index (0-5),2,2,0.666666667,0.055555556
BAED3HH102,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,6514,Biotic characteristics,Structural state,Scrub encroachment,Index (0-3),2,2,0.666666667,0.055555556
BAED3HH103,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,9776,Biotic characteristics,Structural state,Scrub encroachment,Index (0-3),2,2,0.666666667,0.055555556
BAED3HH104,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,4767,Biotic characteristics,Structural state,Scrub encroachment,Index (0-3),2,2,0.666666667,0.055555556
BAED3HH108,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,6613,Biotic characteristics,Structural state,Scrub encroachment,Index (0-3),2,2,0.666666667,0.055555556
BAED3HH112,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,6980,Biotic characteristics,Structural state,Scrub encroachment,Index (0-3),2,2,0.666666667,0.055555556
BAED3HH114,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,7721,Biotic characteristics,Structural state,Scrub encroachment,Index (0-3),2,2,0.666666667,0.055555556
BAED3HH116,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,10552,Biotic characteristics,Structural state,Scrub encroachment,Index (0-3),2,2,0.666666667,0.055555556
BAED3HH118,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,31515,Biotic characteristics,Structural state,Scrub encroachment,Index (0-3),2,2,0.666666667,0.055555556
BAED3HH119,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,12527,Biotic characteristics,Structural state,Scrub encroachment,Index (0-3),2,2,0.666666667,0.055555556
BAED3HH122,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,18437,Biotic characteristics,Structural state,Scrub encroachment,Index (0-3),2,2,0.666666667,0.055555556
BAED3HH123,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,20528,Biotic characteristics,Structural state,Scrub encroachment,Index (0-3),2,2,0.666666667,0.055555556
BAED3HH102,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,6514,Landscape/seascape characteristics,Landscape,Percentage 5km buffer covered by protected areas,Percentage,14.725319,0,0,0
BAED3HH103,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,9776,Landscape/seascape characteristics,Landscape,Percentage 5km buffer covered by protected areas,Percentage,14.959748,0,0,0
BAED3HH104,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,4767,Landscape/seascape characteristics,Landscape,Percentage 5km buffer covered by protected areas,Percentage,14.999146,0,0,0
BAED3HH108,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,6613,Landscape/seascape characteristics,Landscape,Percentage 5km buffer covered by protected areas,Percentage,15.10443,0,0,0
BAED3HH112,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,6980,Landscape/seascape characteristics,Landscape,Percentage 5km buffer covered by protected areas,Percentage,14.927542,0,0,0
BAED3HH114,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,7721,Landscape/seascape characteristics,Landscape,Percentage 5km buffer covered by protected areas,Percentage,15.04451,0,0,0
BAED3HH116,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,10552,Landscape/seascape characteristics,Landscape,Percentage 5km buffer covered by protected areas,Percentage,14.819958,0,0,0
BAED3HH118,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,31515,Landscape/seascape characteristics,Landscape,Percentage 5km buffer covered by protected areas,Percentage,14.294067,0,0,0
BAED3HH119,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,12527,Landscape/seascape characteristics,Landscape,Percentage 5km buffer covered by protected areas,Percentage,15.894458,0,0,0
BAED3HH122,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,18437,Landscape/seascape characteristics,Landscape,Percentage 5km buffer covered by protected areas,Percentage,16.017712,0,0,0
BAED3HH123,A,Commercial forestry,Terrestrial,T7,T7.4,Urban and industrial ecosystems,E,ED,ED3HH1,20528,Landscape/seascape characteristics,Landscape,Percentage 5km buffer covered by protected areas,Percentage,16.535083,0,0,0
BAGS201,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,653,Abiotic characteristics,Physical state,Bare ground,Index (0-5),2,2,0.666666667,0.166666667
BAGS203,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,668,Abiotic characteristics,Physical state,Bare ground,Index (0-5),2,2,0.666666667,0.166666667
BAGS205,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,2243,Abiotic characteristics,Physical state,Bare ground,Index (0-5),2,2,0.666666667,0.166666667
BAGS207,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,4526,Abiotic characteristics,Physical state,Bare ground,Index (0-5),3,1,0.333333333,0.083333333
BAGS209,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,4094,Abiotic characteristics,Physical state,Bare ground,Index (0-5),3,1,0.333333333,0.083333333
BAGS211,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,4379,Abiotic characteristics,Physical state,Bare ground,Index (0-5),3,1,0.333333333,0.083333333
BAGS215,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,2376,Abiotic characteristics,Physical state,Bare ground,Index (0-5),2,2,0.666666667,0.166666667
BAGS217,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,2452,Abiotic characteristics,Physical state,Bare ground,Index (0-5),2,2,0.666666667,0.166666667
BAGS218,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,2094,Abiotic characteristics,Physical state,Bare ground,Index (0-5),1,3,1,0.25
BAGS220,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,8079,Abiotic characteristics,Physical state,Bare ground,Index (0-5),3,1,0.333333333,0.083333333
BAGS222,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,2199,Abiotic characteristics,Physical state,Bare ground,Index (0-5),2,2,0.666666667,0.166666667
BAGS223,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,16991,Abiotic characteristics,Physical state,Bare ground,Index (0-5),3,1,0.333333333,0.083333333
BAGS225,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,1764,Abiotic characteristics,Physical state,Bare ground,Index (0-5),1,3,1,0.25
BAGS226,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,2691,Abiotic characteristics,Physical state,Bare ground,Index (0-5),1,3,1,0.25
BAGS227,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,484,Abiotic characteristics,Physical state,Bare ground,Index (0-5),1,3,1,0.25
BAGS228,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,3850,Abiotic characteristics,Physical state,Bare ground,Index (0-5),2,2,0.666666667,0.166666667
BAGS229,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,3334,Abiotic characteristics,Physical state,Bare ground,Index (0-5),2,2,0.666666667,0.166666667
BAGS230,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,315,Abiotic characteristics,Physical state,Bare ground,Index (0-5),2,2,0.666666667,0.166666667
BAGS201,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,653,Biotic characteristics,Compositional state,Hedgerow cover (perimeter),Percentage,0,0,0,0
BAGS203,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,668,Biotic characteristics,Compositional state,Hedgerow cover (perimeter),Percentage,0,0,0,0
BAGS205,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,2243,Biotic characteristics,Compositional state,Hedgerow cover (perimeter),Percentage,0,0,0,0
BAGS207,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,4526,Biotic characteristics,Compositional state,Hedgerow cover (perimeter),Percentage,0,0,0,0
BAGS209,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,4094,Biotic characteristics,Compositional state,Hedgerow cover (perimeter),Percentage,0,0,0,0
BAGS211,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,4379,Biotic characteristics,Compositional state,Hedgerow cover (perimeter),Percentage,0,0,0,0
BAGS215,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,2376,Biotic characteristics,Compositional state,Hedgerow cover (perimeter),Percentage,0,0,0,0
BAGS217,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,2452,Biotic characteristics,Compositional state,Hedgerow cover (perimeter),Percentage,0,0,0,0
BAGS218,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,2094,Biotic characteristics,Compositional state,Hedgerow cover (perimeter),Percentage,0,0,0,0
BAGS220,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,8079,Biotic characteristics,Compositional state,Hedgerow cover (perimeter),Percentage,0,0,0,0
BAGS222,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,2199,Biotic characteristics,Compositional state,Hedgerow cover (perimeter),Percentage,0,0,0,0
BAGS223,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,16991,Biotic characteristics,Compositional state,Hedgerow cover (perimeter),Percentage,0,0,0,0
BAGS225,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,1764,Biotic characteristics,Compositional state,Hedgerow cover (perimeter),Percentage,0,0,0,0
BAGS226,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,2691,Biotic characteristics,Compositional state,Hedgerow cover (perimeter),Percentage,0,0,0,0
BAGS227,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,484,Biotic characteristics,Compositional state,Hedgerow cover (perimeter),Percentage,0,0,0,0
BAGS228,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,3850,Biotic characteristics,Compositional state,Hedgerow cover (perimeter),Percentage,0,0,0,0
BAGS229,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,3334,Biotic characteristics,Compositional state,Hedgerow cover (perimeter),Percentage,0,0,0,0
BAGS230,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,315,Biotic characteristics,Compositional state,Hedgerow cover (perimeter),Percentage,0,0,0,0
BAGS201,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,653,Biotic characteristics,Structural state,Vegetation structure,Index (0-3),1,1,0.333333333,0.027777778
BAGS203,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,668,Biotic characteristics,Structural state,Vegetation structure,Index (0-3),1,1,0.333333333,0.027777778
BAGS205,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,2243,Biotic characteristics,Structural state,Vegetation structure,Index (0-3),1,1,0.333333333,0.027777778
BAGS207,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,4526,Biotic characteristics,Structural state,Vegetation structure,Index (0-3),1,1,0.333333333,0.027777778
BAGS209,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,4094,Biotic characteristics,Structural state,Vegetation structure,Index (0-3),1,1,0.333333333,0.027777778
BAGS211,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,4379,Biotic characteristics,Structural state,Vegetation structure,Index (0-3),1,1,0.333333333,0.027777778
BAGS215,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,2376,Biotic characteristics,Structural state,Vegetation structure,Index (0-3),1,1,0.333333333,0.027777778
BAGS217,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,2452,Biotic characteristics,Structural state,Vegetation structure,Index (0-3),1,1,0.333333333,0.027777778
BAGS218,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,2094,Biotic characteristics,Structural state,Vegetation structure,Index (0-3),1,1,0.333333333,0.027777778
BAGS220,A,Commercial forestry,Terrestrial,T7,T7.5,Derived semi-natural pastures and oldfields,G,GS,GS2,8079,Biotic characteristics,Structural state,Vegetation structure,Index (0-3),1,1,0.333333333,0.027777778
